experiment,val_accuracy,val_loss,epochs_trained,best_epoch,total_params
"Baseline (same, stride=1, RGB)",0.7524999976158142,0.5107651948928833,7,4,134721
Padding = valid,0.7583333253860474,0.5026336312294006,7,4,130241
Stride = 2,0.7599999904632568,0.5077360272407532,9,6,93761
Greyscale,0.7724999785423279,0.4981117844581604,7,4,134145
With augmentation,0.8183333277702332,0.40114396810531616,27,22,134721
Kernel size = 5x5,0.7549999952316284,0.5178779363632202,7,4,300097
GAP head + augmentation,0.7083333134651184,0.5557429790496826,29,24,93377
